model,metric,family,direction,value
hsmm,aligned_accuracy,recovery,higher,0.848
hsmm,balanced_accuracy,recovery,higher,0.8985218402258761
hsmm,adjusted_rand_index,recovery,higher,0.391725953390842
hsmm,normalized_mutual_information,recovery,higher,0.32329482193433084
hsmm,macro_f1,recovery,higher,0.7425474254742548
hsmm,boundary_precision,recovery,higher,0.0
hsmm,boundary_recall,recovery,higher,0.0
hsmm,boundary_f1,recovery,higher,0.0
hsmm,recovery_score,recovery,higher,0.5847045107216472
hsmm,confidence_calibration,regime_quality,lower,0.14511162418909965
input-output-hmm,prediction_coverage,runtime,higher,1.0
input-output-hmm,fit_seconds,runtime,lower,0.7284347000531852
input-output-hmm,regime_persistence,regime_quality,higher,0.9718875502008032
input-output-hmm,switching_frequency,regime_quality,lower,0.028112449799196804
input-output-hmm,occupancy_concentration,regime_quality,lower,0.623008
input-output-hmm,state_entropy,regime_quality,higher,0.8144326879441559
input-output-hmm,transition_concentration,regime_quality,higher,0.960189452124936
input-output-hmm,probability_entropy,regime_quality,lower,0.04562051157978049
input-output-hmm,aligned_accuracy,recovery,higher,0.848
input-output-hmm,balanced_accuracy,recovery,higher,0.8985218402258761
input-output-hmm,adjusted_rand_index,recovery,higher,0.391725953390842
input-output-hmm,normalized_mutual_information,recovery,higher,0.32329482193433084
input-output-hmm,macro_f1,recovery,higher,0.7425474254742548
input-output-hmm,boundary_precision,recovery,higher,0.0
input-output-hmm,boundary_recall,recovery,higher,0.0
input-output-hmm,boundary_f1,recovery,higher,0.0
input-output-hmm,recovery_score,recovery,higher,0.5847045107216472
input-output-hmm,confidence_calibration,regime_quality,lower,0.14511162418909965
sticky-hmm,prediction_coverage,runtime,higher,1.0
sticky-hmm,fit_seconds,runtime,lower,0.7549091996625066
sticky-hmm,regime_persistence,regime_quality,higher,0.9718875502008032
sticky-hmm,switching_frequency,regime_quality,lower,0.028112449799196804
sticky-hmm,occupancy_concentration,regime_quality,lower,0.623008
sticky-hmm,state_entropy,regime_quality,higher,0.8144326879441559
sticky-hmm,transition_concentration,regime_quality,higher,0.960189452124936
sticky-hmm,probability_entropy,regime_quality,lower,0.04562051157978049
sticky-hmm,aligned_accuracy,recovery,higher,0.848
sticky-hmm,balanced_accuracy,recovery,higher,0.8985218402258761
sticky-hmm,adjusted_rand_index,recovery,higher,0.391725953390842
sticky-hmm,normalized_mutual_information,recovery,higher,0.32329482193433084
sticky-hmm,macro_f1,recovery,higher,0.7425474254742548
sticky-hmm,boundary_precision,recovery,higher,0.0
sticky-hmm,boundary_recall,recovery,higher,0.0
sticky-hmm,boundary_f1,recovery,higher,0.0
sticky-hmm,recovery_score,recovery,higher,0.5847045107216472
sticky-hmm,confidence_calibration,regime_quality,lower,0.14511162418909965
rule-volatility-threshold,prediction_coverage,runtime,higher,1.0
rule-volatility-threshold,fit_seconds,runtime,lower,0.009156299754977226
rule-volatility-threshold,regime_persistence,regime_quality,higher,0.9759036144578314
rule-volatility-threshold,switching_frequency,regime_quality,lower,0.02409638554216864
rule-volatility-threshold,occupancy_concentration,regime_quality,lower,0.7099519999999999
rule-volatility-threshold,state_entropy,regime_quality,higher,0.6712478853829508
rule-volatility-threshold,transition_concentration,regime_quality,higher,0.9585920177383591
rule-volatility-threshold,aligned_accuracy,recovery,higher,0.892
rule-volatility-threshold,balanced_accuracy,recovery,higher,0.8580800531473177
rule-volatility-threshold,adjusted_rand_index,recovery,higher,0.4799716466268571
rule-volatility-threshold,normalized_mutual_information,recovery,higher,0.31252452058585495
rule-volatility-threshold,macro_f1,recovery,higher,0.778390623461046
rule-volatility-threshold,boundary_precision,recovery,higher,0.0
rule-volatility-threshold,boundary_recall,recovery,higher,0.0
rule-volatility-threshold,boundary_f1,recovery,higher,0.0
rule-volatility-threshold,recovery_score,recovery,higher,0.5968301700846078
student-t-hmm,prediction_coverage,runtime,higher,1.0
student-t-hmm,fit_seconds,runtime,lower,4.586289800237864
student-t-hmm,regime_persistence,regime_quality,higher,0.9799196787148594
student-t-hmm,switching_frequency,regime_quality,lower,0.02008032128514059
student-t-hmm,occupancy_concentration,regime_quality,lower,0.6479680000000001
student-t-hmm,state_entropy,regime_quality,higher,0.7745085286615678
student-t-hmm,transition_concentration,regime_quality,higher,0.9684758771929824
student-t-hmm,probability_entropy,regime_quality,lower,0.047980804355897126
student-t-hmm,aligned_accuracy,recovery,higher,0.848
student-t-hmm,balanced_accuracy,recovery,higher,0.8496927420694237
student-t-hmm,adjusted_rand_index,recovery,higher,0.36893917422594197
student-t-hmm,normalized_mutual_information,recovery,higher,0.2518143164228446
student-t-hmm,macro_f1,recovery,higher,0.7281364468864469
student-t-hmm,boundary_precision,recovery,higher,0.0
student-t-hmm,boundary_recall,recovery,higher,0.0
student-t-hmm,boundary_f1,recovery,higher,0.0
student-t-hmm,recovery_score,recovery,higher,0.5603521820819478
student-t-hmm,confidence_calibration,regime_quality,lower,0.1430867703542547
supervised-classifier,prediction_coverage,runtime,higher,1.0
supervised-classifier,fit_seconds,runtime,lower,0.0377790997736156
supervised-classifier,regime_persistence,regime_quality,higher,0.9919678714859438
supervised-classifier,switching_frequency,regime_quality,lower,0.008032128514056214
supervised-classifier,occupancy_concentration,regime_quality,lower,0.8329280000000001
supervised-classifier,state_entropy,regime_quality,higher,0.44311055824469103
supervised-classifier,transition_concentration,regime_quality,higher,0.9760484801846865
supervised-classifier,probability_entropy,regime_quality,lower,0.2718312753742796
supervised-classifier,aligned_accuracy,recovery,higher,0.936
supervised-classifier,balanced_accuracy,recovery,higher,0.8013619000166086
supervised-classifier,adjusted_rand_index,recovery,higher,0.594016036345661
supervised-classifier,normalized_mutual_information,recovery,higher,0.38650387757799265
supervised-classifier,macro_f1,recovery,higher,0.8222222222222222
supervised-classifier,boundary_precision,recovery,higher,0.0
supervised-classifier,boundary_recall,recovery,higher,0.0
supervised-classifier,boundary_f1,recovery,higher,0.0
supervised-classifier,recovery_score,recovery,higher,0.623849336331609
supervised-classifier,confidence_calibration,regime_quality,lower,0.01898516863700705
